id,label
25000,neg
25001,neg
25002,neg
25003,neg
25004,neg
25005,pos
25006,neg
25007,neg
25008,pos
25009,neg
25010,pos
25011,neg
25012,neg
25013,neg
25014,neg
25015,neg
25016,neg
25017,neg
25018,neg
25019,neg
25020,pos
25021,neg
25022,neg
25023,neg
25024,neg
25025,neg
25026,pos
25027,pos
25028,pos
25029,neg
25030,neg
25031,pos
25032,neg
25033,neg
25034,neg
25035,neg
25036,neg
25037,neg
25038,pos
25039,neg
25040,neg
25041,neg
25042,neg
25043,neg
25044,pos
25045,neg
25046,neg
25047,neg
25048,neg
25049,pos
25050,pos
25051,pos
25052,neg
25053,neg
25054,neg
25055,pos
25056,neg
25057,neg
25058,pos
25059,pos
25060,neg
25061,neg
25062,neg
25063,neg
25064,neg
25065,pos
25066,neg
25067,pos
25068,pos
25069,neg
25070,neg
25071,neg
25072,neg
25073,neg
25074,neg
25075,pos
25076,neg
25077,neg
25078,pos
25079,neg
25080,neg
25081,neg
25082,pos
25083,neg
25084,neg
25085,neg
25086,neg
25087,neg
25088,neg
25089,neg
25090,neg
25091,neg
25092,neg
25093,neg
25094,neg
25095,neg
25096,neg
25097,neg
25098,pos
25099,neg
25100,neg
25101,neg
25102,neg
25103,neg
25104,neg
25105,neg
25106,neg
25107,neg
25108,neg
25109,neg
25110,neg
25111,pos
25112,neg
25113,neg
25114,neg
25115,pos
25116,neg
25117,neg
25118,neg
25119,neg
25120,pos
25121,neg
25122,neg
25123,neg
25124,neg
25125,neg
25126,neg
25127,neg
25128,neg
25129,neg
25130,neg
25131,pos
25132,neg
25133,neg
25134,neg
25135,pos
25136,neg
25137,pos
25138,neg
25139,neg
25140,pos
25141,neg
25142,neg
25143,neg
25144,neg
25145,neg
25146,pos
25147,neg
25148,neg
25149,neg
25150,neg
25151,neg
25152,neg
25153,neg
25154,neg
25155,neg
25156,pos
25157,pos
25158,neg
25159,neg
25160,neg
25161,pos
25162,neg
25163,neg
25164,neg
25165,neg
25166,neg
25167,neg
25168,pos
25169,neg
25170,neg
25171,neg
25172,neg
25173,neg
25174,neg
25175,pos
25176,neg
25177,neg
25178,pos
25179,neg
25180,neg
25181,neg
25182,neg
25183,neg
25184,neg
25185,neg
25186,neg
25187,neg
25188,neg
25189,neg
25190,neg
25191,neg
25192,neg
25193,neg
25194,neg
25195,neg
25196,neg
25197,neg
25198,neg
25199,neg
25200,neg
25201,pos
25202,neg
25203,neg
25204,neg
25205,neg
25206,neg
25207,neg
25208,neg
25209,neg
25210,neg
25211,neg
25212,neg
25213,neg
25214,pos
25215,pos
25216,neg
25217,pos
25218,neg
25219,pos
25220,neg
25221,neg
25222,neg
25223,pos
25224,neg
25225,neg
25226,neg
25227,neg
25228,neg
25229,pos
25230,neg
25231,neg
25232,pos
25233,neg
25234,pos
25235,neg
25236,neg
25237,neg
25238,pos
25239,neg
25240,neg
25241,pos
25242,neg
25243,neg
25244,neg
25245,neg
25246,neg
25247,neg
25248,neg
25249,neg
25250,pos
25251,neg
25252,neg
25253,neg
25254,neg
25255,neg
25256,neg
25257,neg
25258,neg
25259,neg
25260,neg
