id,label
111,neg
121,neg
160,neg
211,neg
378,pos
490,pos
573,neg
574,neg
580,neg
624,neg
688,neg
725,pos
958,neg
1038,neg
1087,pos
1102,neg
1118,pos
1142,neg
1157,pos
1158,neg
1167,neg
1175,neg
1182,neg
1189,neg
1264,pos
1323,pos
1586,neg
1711,neg
1763,neg
1777,neg
1829,neg
1854,neg
1859,pos
1885,neg
1925,pos
1953,neg
1955,pos
1993,neg
2019,pos
2047,neg
2071,neg
2116,pos
2130,neg
2164,neg
2257,pos
2288,neg
2320,neg
2381,neg
2448,pos
2454,neg
2490,neg
2491,neg
2594,neg
2615,pos
2634,neg
2679,neg
2691,neg
2719,neg
2759,neg
2888,neg
2924,neg
2961,neg
2965,neg
2970,neg
3012,neg
3128,neg
3150,neg
3244,neg
3262,pos
3437,neg
3440,neg
3550,neg
3649,neg
3837,neg
3928,neg
3952,pos
3986,neg
4044,neg
4049,pos
4133,pos
4134,neg
4146,neg
4177,neg
4210,neg
4231,pos
4272,neg
4320,neg
4340,neg
4378,neg
4471,neg
4476,neg
4493,neg
4501,neg
4521,neg
4534,neg
4571,neg
4626,pos
4638,pos
4640,pos
4644,neg
4646,neg
4741,pos
4749,neg
4750,neg
4784,neg
4805,neg
4893,pos
4936,pos
4984,neg
4996,pos
5003,pos
5144,pos
5158,neg
5240,neg
5254,neg
5388,pos
5431,pos
5500,pos
5513,neg
5567,neg
5627,neg
5739,neg
5742,pos
5745,neg
5759,pos
5828,neg
5883,neg
5940,pos
5982,pos
6086,neg
6146,neg
6163,neg
6228,neg
6319,pos
6341,neg
6450,pos
6537,neg
6568,pos
6638,neg
6722,neg
6756,neg
6796,neg
6953,pos
6989,neg
7071,neg
7072,pos
7088,neg
7267,neg
7308,pos
7453,pos
7498,neg
7657,neg
7829,neg
7839,pos
7895,neg
8088,neg
8118,pos
8218,pos
8252,neg
8323,neg
8325,neg
8449,neg
8470,neg
8580,pos
8614,neg
8640,neg
8683,neg
8752,pos
8758,neg
8975,neg
8983,neg
9091,neg
9152,neg
9171,neg
9176,neg
9255,pos
9270,neg
9358,pos
9365,neg
9422,neg
9453,neg
9494,pos
9498,neg
9537,pos
9579,pos
9625,neg
9692,neg
9717,neg
9735,neg
9923,neg
10030,neg
10128,neg
10129,neg
10145,pos
10148,neg
10156,neg
10229,neg
10234,neg
10300,neg
10301,neg
10330,neg
10341,neg
10364,neg
10389,neg
10566,neg
10645,neg
10651,neg
10742,neg
10748,pos
10764,neg
10818,neg
10834,neg
10875,neg
10896,neg
10951,pos
10977,neg
10989,neg
11074,pos
11088,neg
11139,neg
11176,neg
11208,pos
11221,neg
11314,pos
11406,neg
11410,neg
11419,pos
11448,neg
11473,neg
11521,neg
11554,neg
11604,neg
11622,neg
11664,neg
11737,neg
11834,pos
11966,neg
11972,neg
11999,neg
12052,neg
12159,neg
12162,neg
12164,neg
12343,neg
12419,neg
12459,neg
12537,pos
12544,pos
12564,pos
12581,neg
12733,neg
12751,neg
12753,neg
12874,pos
12940,pos
12988,pos
13080,pos
13109,pos
13178,pos
13231,pos
13320,pos
13369,pos
13440,pos
13441,pos
13504,pos
13518,pos
13573,pos
13677,pos
13721,pos
13897,neg
13911,pos
13927,neg
14017,pos
14034,pos
14096,neg
14175,pos
14223,pos
14278,pos
14293,pos
14323,pos
14378,pos
14391,pos
14656,neg
14937,neg
15024,pos
15044,neg
15047,pos
15091,pos
15119,pos
15236,pos
15240,pos
15346,pos
15487,pos
15493,pos
15519,neg
15564,pos
15661,pos
15664,neg
15861,pos
15943,neg
15951,pos
15977,pos
16016,neg
16048,pos
16072,pos
16232,pos
16308,pos
16328,pos
16338,pos
16367,pos
16372,pos
16693,pos
16742,pos
16770,pos
16852,pos
16870,pos
17017,pos
17022,pos
17060,pos
17062,pos
17119,pos
17132,pos
17175,pos
17258,pos
17339,pos
17432,pos
17448,pos
17462,neg
17475,pos
17487,pos
17499,pos
17531,neg
17579,pos
17613,neg
17650,pos
17667,pos
17792,pos
17804,pos
17884,pos
17917,pos
17969,pos
17971,neg
18000,pos
18025,pos
18136,neg
18139,pos
18144,pos
18220,pos
18269,neg
18286,pos
18353,pos
18432,pos
18592,pos
18695,pos
18752,neg
18756,pos
18797,pos
18896,pos
18901,pos
18946,neg
18982,neg
19141,pos
19145,pos
19197,pos
19212,pos
19240,pos
19253,neg
19307,neg
19377,pos
19493,pos
19503,pos
19557,pos
19570,pos
19645,pos
19678,pos
19751,pos
19777,pos
19819,pos
19839,neg
19840,pos
19957,pos
19999,neg
